model,term,coef,se,p,r2,N
base,Tone_Index,0.06194859219932325,0.012257099578562802,4.3242773927882426e-07,0.2362837826387555,4277
base,Clarity_Index,0.005915495309045826,0.007987520759610298,0.4589407587661609,0.2362837826387555,4277
base,Legal_Load_Index,0.01280075033159515,0.006380430177318336,0.044829376312265426,0.2362837826387555,4277
plus_log_words,Tone_Index,0.05864042782831505,0.01210547512694273,1.271712191425541e-06,0.2443323590756683,4277
plus_log_words,Clarity_Index,0.006430277518983995,0.007843607782315135,0.412323744458722,0.2443323590756683,4277
plus_log_words,Legal_Load_Index,0.00980438635211439,0.006884483727038859,0.15440940931700545,0.2443323590756683,4277
plus_log_words,log_words,-0.007661162211846504,0.005261696477938533,0.14538567732766497,0.2443323590756683,4277
plus_log_sentences,Tone_Index,0.059461156888296125,0.012206381815291595,1.108567359978158e-06,0.2413168928368845,4277
plus_log_sentences,Clarity_Index,0.008364886576261167,0.008560442215378265,0.32849197918891493,0.2413168928368845,4277
plus_log_sentences,Legal_Load_Index,0.010452993816850826,0.0069385238007552376,0.13193488511224014,0.2413168928368845,4277
plus_log_sentences,log_sents,-0.006162836768316607,0.005157473918024111,0.23211313358454377,0.2413168928368845,4277
